start_id,hub_1512,hub_1513,hub_1514,hub_1515,hub_1516,hub_1517,hub_1518,hub_1519,hub_1521,hub_1522,hub_1523,hub_1524,hub_1527,hub_1528,hub_1529,hub_1535,hub_1536,hub_1537,hub_1538,hub_1539,hub_1540,hub_1541,hub_1542,hub_1543,hub_1544,hub_1545,hub_1546,hub_1547,hub_1548,hub_1549,hub_1550,hub_1551,hub_1552,hub_1554,hub_1555,hub_1556,hub_1558,hub_1559,hub_1560,hub_1561,hub_1562,hub_1563,hub_1564,hub_1566,hub_1567,hub_1568,hub_1569,hub_1570,hub_1571,hub_1572,hub_1574,hub_1575,hub_1576,hub_1577,hub_1578,hub_1579,hub_1580,hub_1581,hub_1582,hub_1583,hub_1584,hub_1585,hub_1586,hub_1588,hub_1589,hub_1590,hub_1591,hub_1592,hub_1593,hub_1594,hub_1595,hub_1596,hub_1597,hub_1598,hub_1599,hub_1600,hub_1601,hub_1602,hub_1603,hub_1604,hub_1605,hub_1606,hub_1607,hub_1608,hub_1609,hub_1610,hub_1611,hub_1612,hub_1613,hub_1614,hub_1615,hub_1616,hub_1617,hub_1713,hub_2275,hub_2276,hub_2598,hub_2677,hub_2678,hub_2679,hub_2680,hub_2681,hub_2682,hub_2683,hub_2684,hub_2685,hub_2686,hub_2687,hub_2688,hub_2689,hub_2695,hub_2696,hub_2698,hub_2707,hub_2708,hub_2789,hub_2798,hub_2875,hub_3240
hub_1512,335,14,24,17,29,10,46,37,5,56,15,12,13,144,58,53,21,18,14,25,40,95,18,13,49,152,42,93,39,30,27,9,19,4,28,16,87,6,6,183,31,52,63,35,44,51,123,134,50,31,170,128,66,97,96,61,84,52,88,255,62,39,30,43,16,87,20,79,19,19,31,10,10,16,3,107,21,15,48,51,21,54,14,10,27,79,56,41,10,19,64,52,7,66,6,NA,1,1,1,4,2,NA,NA,1,NA,2,11,NA,NA,NA,1,NA,4,31,NA,12,26,8,6
hub_1513,11,164,39,27,84,1,45,15,65,9,13,3,6,4,8,3,11,6,15,8,21,90,NA,NA,19,5,5,3,34,45,79,NA,12,14,13,3,3,NA,1,6,3,2,NA,1,1,8,62,20,10,2,55,11,14,13,22,17,7,12,25,12,4,6,16,12,4,9,69,NA,9,4,13,6,3,2,22,27,7,2,3,12,NA,5,4,13,46,5,36,21,10,27,34,9,NA,2,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,11,8,7,NA,1,1
hub_1514,16,57,233,71,19,14,41,41,3,25,2,4,21,21,4,9,13,3,5,1,18,37,NA,1,41,2,11,11,64,27,81,20,7,50,3,4,8,NA,3,2,2,NA,4,1,3,8,51,25,8,10,33,10,41,22,15,8,7,28,11,18,1,2,13,21,8,6,60,3,5,4,1,NA,12,1,7,51,12,3,8,5,NA,9,1,18,29,29,43,33,20,18,85,13,1,7,5,7,3,2,1,2,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,26,10,NA,4,6,11,1
hub_1515,29,19,59,316,28,12,51,48,NA,23,5,4,30,2,4,11,7,14,11,3,14,254,1,2,25,13,20,3,75,127,208,11,21,40,6,11,6,NA,NA,12,NA,7,4,7,3,7,48,48,10,5,38,23,21,29,32,15,44,29,23,3,2,1,10,24,7,13,193,11,13,6,14,7,4,7,52,84,31,1,19,7,2,9,3,19,57,57,102,52,33,50,167,1,2,5,6,1,3,NA,NA,NA,NA,7,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,9,13,NA,1,2,2,2
hub_1516,25,40,21,39,1328,2,75,16,NA,12,13,1,8,45,6,13,12,6,9,7,7,103,3,1,63,31,4,7,20,26,43,2,12,13,2,16,6,3,3,52,5,10,3,4,5,18,159,75,19,4,58,48,150,35,35,73,7,37,17,57,5,5,21,51,14,16,203,3,97,2,13,5,6,15,7,82,7,1,29,16,10,8,7,8,149,28,16,22,24,57,108,11,4,6,2,4,NA,2,1,NA,1,NA,NA,3,NA,NA,2,NA,NA,NA,1,NA,8,64,NA,5,6,5,7
hub_1517,5,3,11,8,7,70,9,28,2,16,NA,NA,23,2,2,NA,1,2,6,9,1,6,1,1,10,NA,3,2,27,9,16,11,36,19,1,3,3,NA,NA,1,NA,1,NA,NA,NA,4,18,4,NA,1,6,5,5,12,18,NA,10,3,1,NA,6,1,2,9,7,5,7,NA,NA,1,3,1,4,7,6,11,10,2,6,3,1,6,4,20,5,14,41,24,29,15,35,4,5,NA,8,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,2,NA,1,5
hub_1518,35,32,31,73,68,11,680,29,6,7,32,5,16,48,14,12,9,28,9,4,24,106,7,3,47,20,9,7,7,30,43,8,11,20,19,15,8,5,NA,25,11,16,9,5,13,23,102,67,17,15,68,35,80,57,35,26,20,56,42,32,5,4,27,34,16,49,53,1,27,9,33,6,9,10,14,55,15,1,22,5,4,13,12,6,91,62,140,73,25,74,78,39,8,4,7,6,NA,3,1,NA,NA,NA,1,NA,NA,3,1,NA,NA,1,NA,NA,6,62,NA,8,4,5,12
hub_1519,24,13,18,48,27,23,19,208,NA,137,10,5,13,15,1,5,4,6,NA,5,1,118,NA,NA,26,8,11,4,33,24,31,33,20,26,20,10,3,13,13,75,6,4,3,1,5,18,96,8,15,NA,25,35,16,14,11,7,11,31,13,7,6,3,47,50,29,17,7,1,10,4,16,4,NA,4,47,31,33,6,5,12,7,18,25,37,6,86,49,64,42,41,40,10,10,5,22,9,2,2,2,NA,5,NA,NA,NA,1,6,1,NA,NA,NA,NA,NA,6,2,NA,2,4,2,8
hub_1521,12,108,1,3,28,2,9,1,133,2,13,66,1,26,2,1,1,4,NA,1,NA,4,1,NA,3,13,5,NA,1,5,2,NA,NA,2,6,8,10,11,11,10,6,3,2,2,2,4,6,2,2,3,11,6,1,39,20,3,3,17,3,4,NA,2,19,58,1,11,4,1,NA,19,62,43,27,28,2,12,NA,6,3,4,1,1,43,1,6,5,6,4,1,1,12,29,44,2,2,NA,NA,8,5,4,1,1,1,NA,NA,NA,NA,2,8,1,NA,NA,NA,1,7,2,2,NA,NA
hub_1522,73,2,16,7,39,31,13,177,3,183,17,3,10,5,NA,13,15,3,6,2,38,11,5,NA,14,7,13,3,23,16,14,15,13,87,21,15,15,10,12,8,8,13,1,3,2,9,99,8,2,2,17,24,13,15,18,5,8,11,13,5,4,1,11,54,86,12,8,3,4,9,27,41,5,10,95,23,101,20,6,29,9,46,30,12,7,99,41,49,136,20,40,14,8,2,98,6,1,1,2,2,8,NA,3,NA,2,1,3,NA,1,NA,2,NA,6,NA,NA,7,NA,1,9
